# Authored and repaired underground columns x,z,highestAffectedY; require one terrain block above.
# Excludes only 372 surface entrance columns; includes all 6679 underground columns.
-113,13,-27
-113,14,-27
-113,15,-27
-113,16,-27
-113,17,-27
-113,18,-27
-113,19,-27
-113,20,-27
-113,21,-27
-113,22,-27
-113,23,-27
-113,24,-27
-113,25,-27
-113,26,-27
-113,27,-27
-113,28,-27
-113,29,-27
-113,30,-27
-113,31,-27
-113,32,-27
-113,33,-27
-113,34,-27
-113,35,-27
-113,36,-27
-113,37,-27
-112,-39,-27
-112,-38,-27
-112,-37,-27
-112,-36,-27
-112,-35,-27
-112,-34,-27
-112,-33,-27
-112,-32,-27
-112,-31,-27
-112,-30,-27
-112,-29,-27
-112,-28,-27
-112,-27,-27
-112,-26,-27
-112,-25,-27
-112,-24,-27
-112,-23,-27
-112,-22,-27
-112,-21,-27
-112,-20,-27
-112,-19,-27
-112,-18,-27
-112,-17,-27
-112,-16,-27
-112,-15,-27
-112,-14,-27
-112,-13,-27
-112,-12,-27
-112,-11,-27
-112,-10,-27
-112,-9,-27
-112,-8,-27
-112,-7,-27
-112,-6,-27
-112,-5,-27
-112,-4,-27
-112,-3,-27
-112,-2,-27
-112,-1,-27
-112,0,-27
-112,1,-27
-112,2,-27
-112,3,-27
-112,4,-27
-112,5,-27
-112,6,-27
-112,7,-27
-112,8,-27
-112,9,-27
-112,10,-27
-112,11,-27
-112,12,-27
-112,13,-27
-112,14,-27
-112,15,-27
-112,16,-27
-112,17,-27
-112,18,-27
-112,19,-27
-112,20,-27
-112,21,-27
-112,22,-27
-112,23,-27
-112,24,-27
-112,25,-27
-112,26,-27
-112,27,-27
-112,28,-27
-112,29,-27
-112,30,-27
-112,31,-27
-112,32,-27
-112,33,-27
-112,34,-27
-112,35,-27
-112,36,-27
-112,37,-27
-111,-39,-27
-111,-38,-27
-111,-37,-27
-111,-36,-27
-111,-35,-27
-111,-34,-27
-111,-33,-27
-111,-32,-27
-111,-31,-27
-111,-30,-27
-111,-29,-27
-111,-28,-27
-111,-27,-27
-111,-26,-27
-111,-25,-27
-111,-24,-27
-111,-23,-27
-111,-22,-27
-111,-21,-27
-111,-20,-27
-111,-19,-27
-111,-18,-27
-111,-17,-27
-111,-16,-27
-111,-15,-27
-111,-14,-27
-111,-13,-27
-111,-12,-27
-111,-11,-27
-111,-10,-27
-111,-9,-27
-111,-8,-27
-111,-7,-27
-111,-6,-27
-111,-5,-27
-111,-4,-27
-111,-3,-27
-111,-2,-27
-111,-1,-27
-111,0,-27
-111,1,-27
-111,2,-27
-111,3,-27
-111,4,-27
-111,5,-27
-111,6,-27
-111,7,-27
-111,8,-27
-111,9,-27
-111,10,-27
-111,11,-27
-111,12,-27
-111,13,-27
-111,14,-27
-111,15,-27
-111,16,-27
-111,17,-27
-111,18,-27
-111,19,-27
-111,20,-27
-111,21,-27
-111,22,-27
-111,23,-27
-111,24,-27
-111,25,-27
-111,26,-27
-111,27,-27
-111,28,-27
-111,29,-27
-111,30,-27
-111,31,-27
-111,32,-27
-111,33,-27
-111,34,-27
-111,35,-27
-111,36,-27
-111,37,-27
-110,-39,-27
-110,-38,-27
-110,-37,-27
-110,-36,-27
-110,-35,-27
-110,-34,-27
-110,-33,-27
-110,-32,-27
-110,-31,-27
-110,-30,-27
-110,-29,-27
-110,-28,-27
-110,-27,-27
-110,-26,-27
-110,-25,-27
-110,-24,-27
-110,-23,-27
-110,-22,-27
-110,-21,-27
-110,-20,-27
-110,-19,-27
-110,-18,-27
-110,-17,-27
-110,-16,-27
-110,-15,-27
-110,-14,-27
-110,-13,-27
-110,-12,-27
-110,-11,-27
-110,-10,-27
-110,-9,-27
-110,-8,-27
-110,-7,-27
-110,-6,-27
-110,-5,-27
-110,-4,-27
-110,-3,-27
-110,-2,-27
-110,-1,-27
-110,0,-27
-110,1,-27
-110,2,-27
-110,3,-27
-110,4,-27
-110,5,-27
-110,6,-27
-110,7,-27
-110,8,-27
-110,9,-27
-110,10,-27
-110,11,-27
-110,12,-27
-110,13,-27
-110,14,-27
-110,15,-27
-110,16,-27
-110,17,-27
-110,18,-27
-110,19,-27
-110,20,-27
-110,21,-27
-110,22,-27
-110,23,-27
-110,24,-27
-110,25,-27
-110,26,-27
-110,27,-27
-110,28,-27
-110,29,-27
-110,30,-27
-110,31,-27
-110,32,-27
-110,33,-27
-110,34,-27
-110,35,-27
-110,36,-27
-110,37,-27
-109,-39,-27
-109,-38,-27
-109,-37,-27
-109,-36,-27
-109,-35,-27
-109,-34,-27
-109,-33,-27
-109,-32,-27
-109,-31,-27
-109,-30,-27
-109,-29,-27
-109,-28,-27
-109,-27,-27
-109,-26,-27
-109,-25,-27
-109,-24,-27
-109,-23,-27
-109,-22,-27
-109,-21,-27
-109,-20,-27
-109,-19,-27
-109,-18,-27
-109,-17,-27
-109,-16,-27
-109,-15,-27
-109,-14,-27
-109,-13,-27
-109,-12,-27
-109,-11,-27
-109,-10,-27
-109,-9,-27
-109,-8,-27
-109,-7,-27
-109,-6,-27
-109,-5,-27
-109,-4,-27
-109,-3,-27
-109,-2,-27
-109,-1,-27
-109,0,-27
-109,1,-27
-109,2,-27
-109,3,-27
-109,4,-27
-109,5,-27
-109,6,-27
-109,7,-27
-109,8,-27
-109,9,-27
-109,10,-27
-109,11,-27
-109,12,-27
-109,13,-27
-109,14,-27
-109,15,-27
-109,16,-27
-109,17,-27
-109,18,-27
-109,19,-27
-109,20,-27
-109,21,-27
-109,22,-27
-109,23,-27
-109,24,-27
-109,25,-27
-109,26,-27
-109,27,-27
-109,28,-27
-109,29,-27
-109,30,-27
-109,31,-27
-109,32,-27
-109,33,-27
-109,34,-27
-109,35,-27
-109,36,-27
-109,37,-27
-108,-39,-27
-108,-38,-27
-108,-37,-27
-108,-36,-27
-108,-35,-27
-108,-34,-27
-108,-33,-27
-108,-32,-27
-108,-31,-27
-108,-30,-27
-108,-29,-27
-108,-28,-27
-108,-27,-27
-108,-26,-27
-108,-25,-27
-108,-24,-27
-108,-23,-27
-108,-22,-27
-108,-21,-27
-108,-20,-27
-108,-19,-27
-108,-18,-27
-108,-17,-27
-108,-16,-27
-108,-15,-27
-108,-14,-27
-108,-13,-27
-108,-12,-27
-108,-11,-27
-108,-10,-27
-108,-9,-27
-108,-8,-27
-108,-7,-27
-108,-6,-27
-108,-5,-27
-108,-4,-27
-108,-3,-27
-108,-2,-27
-108,-1,-27
-108,0,-27
-108,1,-27
-108,2,-27
-108,3,-27
-108,4,-27
-108,5,-27
-108,6,-27
-108,7,-27
-108,8,-27
-108,9,-27
-108,10,-27
-108,11,-27
-108,12,-27
-108,13,-27
-108,14,-27
-108,15,-27
-108,16,-27
-108,17,-27
-108,18,-27
-108,19,-27
-108,20,-27
-108,21,-27
-108,22,-27
-108,23,-27
-108,24,-27
-108,25,-27
-108,26,-27
-108,27,-27
-108,28,-27
-108,29,-27
-108,30,-27
-108,31,-27
-108,32,-27
-108,33,-27
-108,34,-27
-108,35,-27
-108,36,-27
-108,37,-27
-107,-39,-27
-107,-38,-27
-107,-37,-27
-107,-36,-27
-107,-35,-27
-107,-34,-27
-107,-33,-27
-107,-32,-27
-107,-31,-27
-107,-30,-27
-107,-29,-27
-107,-28,-27
-107,-27,-27
-107,-26,-27
-107,-25,-27
-107,-24,-27
-107,-23,-27
-107,-22,-27
-107,-21,-27
-107,-20,-27
-107,-19,-27
-107,-18,-27
-107,-17,-27
-107,-16,-27
-107,-15,-27
-107,-14,-27
-107,-13,-27
-107,-12,-27
-107,-11,-27
-107,-10,-27
-107,-9,-27
-107,-8,-27
-107,-7,-27
-107,-6,-27
-107,-5,-27
-107,-4,-27
-107,-3,-27
-107,-2,-27
-107,-1,-27
-107,0,-27
-107,1,-27
-107,2,-27
-107,3,-27
-107,4,-27
-107,5,-27
-107,6,-27
-107,7,-27
-107,8,-27
-107,9,-27
-107,10,-27
-107,11,-27
-107,12,-27
-107,13,-27
-107,14,-27
-107,15,-27
-107,16,-27
-107,17,-27
-107,18,-27
-107,19,-27
-107,20,-27
-107,21,-27
-107,22,-27
-107,23,-27
-107,24,-27
-107,25,-27
-107,26,-27
-107,27,-27
-107,28,-27
-107,29,-27
-107,30,-27
-107,31,-27
-107,32,-27
-107,33,-27
-107,34,-27
-107,35,-27
-107,36,-27
-107,37,-27
-106,-39,-27
-106,-38,-27
-106,-37,-27
-106,-36,-27
-106,-35,-27
-106,-34,-27
-106,-33,-27
-106,-32,-27
-106,-31,-27
-106,-30,-27
-106,-29,-27
-106,-28,-27
-106,-27,-27
-106,-26,-27
-106,-25,-27
-106,-24,-27
-106,-23,-27
-106,-22,-27
-106,-21,-27
-106,-20,-27
-106,-19,-27
-106,-18,-27
-106,-17,-27
-106,-16,-27
-106,-15,-27
-106,-14,-27
-106,-13,-27
-106,-12,-27
-106,-11,-27
-106,-10,-27
-106,-9,-27
-106,-8,-27
-106,-7,-27
-106,-6,-27
-106,-5,-27
-106,-4,-27
-106,-3,-27
-106,-2,-27
-106,-1,-27
-106,0,-27
-106,1,-27
-106,2,-27
-106,3,-27
-106,4,-27
-106,5,-27
-106,6,-27
-106,7,-27
-106,8,-27
-106,9,-27
-106,10,-27
-106,11,-27
-106,12,-27
-106,13,-27
-106,14,-27
-106,15,-27
-106,16,-27
-106,17,-27
-106,18,-27
-106,19,-27
-106,20,-27
-106,21,-27
-106,22,-27
-106,23,-27
-106,24,-27
-106,25,-27
-106,26,-27
-106,27,-27
-106,28,-27
-106,29,-27
-106,30,-27
-106,31,-27
-106,32,-27
-106,33,-27
-106,34,-27
-106,35,-27
-106,36,-27
-106,37,-27
-105,-39,-27
-105,-38,-27
-105,-37,-27
-105,-36,-27
-105,-35,-27
-105,-34,-27
-105,-33,-27
-105,-32,-27
-105,-31,-27
-105,-30,-27
-105,-29,-27
-105,-28,-27
-105,-27,-27
-105,-26,-27
-105,-25,-27
-105,-24,-27
-105,-23,-27
-105,-22,-27
-105,-21,-27
-105,-20,-27
-105,-19,-27
-105,-18,-27
-105,-17,-27
-105,-16,-27
-105,-15,-27
-105,-14,-27
-105,-13,-27
-105,-12,-27
-105,-11,-27
-105,-10,-27
-105,-9,-27
-105,-8,-27
-105,-7,-27
-105,-6,-27
-105,-5,-27
-105,-4,-27
-105,-3,-27
-105,-2,-27
-105,-1,-27
-105,0,-27
-105,1,-27
-105,2,-27
-105,3,-27
-105,4,-27
-105,5,-27
-105,6,-27
-105,7,-27
-105,8,-27
-105,9,-27
-105,10,-27
-105,11,-27
-105,12,-27
-105,13,-27
-105,14,-27
-105,15,-27
-105,16,-27
-105,17,-27
-105,18,-27
-105,19,-27
-105,20,-27
-105,21,-27
-105,22,-27
-105,23,-27
-105,24,-27
-105,25,-27
-105,26,-27
-105,27,-27
-105,28,-27
-105,29,-27
-105,30,-27
-105,31,-27
-105,32,-27
-105,33,-27
-105,34,-27
-105,35,-27
-105,36,-27
-105,37,-27
-104,-39,-27
-104,-38,-27
-104,-37,-27
-104,-36,-27
-104,-35,-27
-104,-34,-27
-104,-33,-27
-104,-32,-27
-104,-31,-27
-104,-30,-27
-104,-29,-27
-104,-28,-27
-104,-27,-27
-104,-26,-27
-104,-25,-27
-104,-24,-27
-104,-23,-27
-104,-22,-27
-104,-21,-27
-104,-20,-27
-104,-19,-27
-104,-18,-27
-104,-17,-27
-104,-16,-27
-104,-15,-27
-104,-14,-27
-104,-13,-27
-104,-12,-27
-104,-11,-27
-104,-10,-27
-104,-9,-27
-104,-8,-27
-104,-7,-27
-104,-6,-27
-104,-5,-27
-104,-4,-27
-104,-3,-27
-104,-2,-27
-104,-1,-27
-104,0,-27
-104,1,-27
-104,2,-27
-104,3,-27
-104,4,-27
-104,5,-27
-104,6,-27
-104,7,-27
-104,8,-27
-104,9,-27
-104,10,-27
-104,11,-27
-104,12,-27
-104,13,-27
-104,14,-27
-104,15,-27
-104,16,-27
-104,17,-27
-104,18,-27
-104,19,-27
-104,20,-27
-104,21,-27
-104,22,-27
-104,23,-27
-104,24,-27
-104,25,-27
-104,26,-27
-104,27,-27
-104,28,-27
-104,29,-27
-104,30,-27
-104,31,-27
-104,32,-27
-104,33,-27
-104,34,-27
-104,35,-27
-104,36,-27
-104,37,-27
-103,-39,-27
-103,-38,-27
-103,-37,-27
-103,-36,-27
-103,-35,-27
-103,-34,-27
-103,-33,-27
-103,-32,-27
-103,-31,-27
-103,-30,-27
-103,-29,-27
-103,-28,-27
-103,-27,-27
-103,-26,-27
-103,-25,-27
-103,-24,-27
-103,-23,-27
-103,-22,-27
-103,-21,-27
-103,-20,-27
-103,-19,-27
-103,-18,-27
-103,-17,-27
-103,-16,-27
-103,-15,-27
-103,-14,-27
-103,-13,-27
-103,-12,-27
-103,-11,-27
-103,-10,-27
-103,-9,-27
-103,-8,-27
-103,-7,-27
-103,-6,-27
-103,-5,-27
-103,-4,-27
-103,-3,-27
-103,-2,-27
-103,-1,-27
-103,0,-27
-103,1,-27
-103,2,-27
-103,3,-27
-103,4,-27
-103,5,-27
-103,6,-27
-103,7,-27
-103,8,-27
-103,9,-27
-103,10,-27
-103,11,-27
-103,12,-27
-103,13,-27
-103,14,-27
-103,15,-27
-103,16,-27
-103,17,-27
-103,18,-27
-103,19,-27
-103,20,-27
-103,21,-27
-103,22,-27
-103,23,-27
-103,24,-27
-103,25,-27
-103,26,-27
-103,27,-27
-103,28,-27
-103,29,-27
-103,30,-27
-103,31,-27
-103,32,-27
-103,33,-27
-103,34,-27
-103,35,-27
-103,36,-27
-103,37,-27
-102,-39,-27
-102,-38,-27
-102,-37,-27
-102,-36,-27
-102,-35,-27
-102,-34,-27
-102,-33,-27
-102,-32,-27
-102,-31,-27
-102,-30,-27
-102,-29,-27
-102,-28,-27
-102,-27,-27
-102,-26,-27
-102,-25,-27
-102,-24,-27
-102,-23,-27
-102,-22,-27
-102,-21,-27
-102,-20,-27
-102,-19,-27
-102,-18,-27
-102,-17,-27
-102,-16,-27
-102,-15,-27
-102,-14,-27
-102,-13,-27
-102,-12,-27
-102,-11,-27
-102,-10,-27
-102,-9,-27
-102,-8,-27
-102,-7,-27
-102,-6,-27
-102,-5,-27
-102,-4,-27
-102,-3,-27
-102,-2,-27
-102,-1,-27
-102,0,-27
-102,1,-27
-102,2,-27
-102,3,-27
-102,4,-27
-102,5,-27
-102,6,-27
-102,7,-27
-102,8,-27
-102,9,-27
-102,10,-27
-102,11,-27
-102,12,-27
-102,13,-27
-102,14,-27
-102,15,-27
-102,16,-27
-102,17,-27
-102,18,-27
-102,19,-27
-102,20,-27
-102,21,-27
-102,22,-27
-102,23,-27
-102,24,-27
-102,25,-27
-102,26,-27
-102,27,-27
-102,28,-27
-102,29,-27
-102,30,-27
-102,31,-27
-102,32,-27
-102,33,-27
-102,34,-27
-102,35,-27
-102,36,-27
-102,37,-27
-101,-39,-27
-101,-38,-27
-101,-37,-27
-101,-36,-27
-101,-35,-27
-101,-34,-27
-101,-33,-27
-101,-32,-27
-101,-31,-27
-101,-30,-27
-101,-29,-27
-101,-28,-27
-101,-27,-27
-101,-26,-27
-101,-25,-27
-101,-24,-27
-101,-23,-27
-101,-22,-27
-101,-21,-27
-101,-20,-27
-101,-19,-27
-101,-18,-27
-101,-17,-27
-101,-16,-27
-101,-15,-27
-101,-14,-27
-101,-13,-27
-101,-12,-27
-101,-11,-27
-101,-10,-27
-101,-9,-27
-101,-8,-27
-101,-7,-27
-101,-6,-27
-101,-5,-27
-101,-4,-27
-101,-3,-27
-101,-2,-27
-101,-1,-27
-101,0,-27
-101,1,-27
-101,2,-27
-101,3,-27
-101,4,-27
-101,5,-27
-101,6,-27
-101,7,-27
-101,8,-27
-101,9,-27
-101,10,-27
-101,11,-27
-101,12,-27
-101,13,-27
-101,14,-27
-101,15,-27
-101,16,-27
-101,17,-27
-101,18,-27
-101,19,-27
-101,20,-27
-101,21,-27
-101,22,-27
-101,23,-27
-101,24,-27
-101,25,-27
-101,26,-27
-101,27,-27
-101,28,-27
-101,29,-27
-101,30,-27
-101,31,-27
-101,32,-27
-101,33,-27
-101,34,-27
-101,35,-27
-101,36,-27
-101,37,-27
-100,-39,-27
-100,-38,-27
-100,-37,-27
-100,-36,-27
-100,-35,-27
-100,-34,-27
-100,-33,-27
-100,-32,-27
-100,-31,-27
-100,-30,-27
-100,-29,-27
-100,-28,-27
-100,-27,-27
-100,-26,-27
-100,-25,-27
-100,-24,-27
-100,-23,-27
-100,-22,-27
-100,-21,-27
-100,-20,-27
-100,-19,-27
-100,-18,-27
-100,-17,-27
-100,-16,-27
-100,-15,-27
-100,-14,-27
-100,-13,-27
-100,-12,-27
-100,-11,-27
-100,-10,-27
-100,-9,-27
-100,-8,-27
-100,-7,-27
-100,-6,-27
-100,-5,-27
-100,-4,-27
-100,-3,-27
-100,-2,-27
-100,-1,-27
-100,0,-27
-100,1,-27
-100,2,-27
-100,3,-27
-100,4,-27
-100,5,-27
-100,6,-27
-100,7,-27
-100,8,-27
-100,9,-27
-100,10,-27
-100,11,-27
-100,12,-27
-100,13,-27
-100,14,-27
-100,15,-27
-100,16,-27
-100,17,-27
-100,18,-27
-100,19,-27
-100,20,-27
-100,21,-27
-100,22,-27
-100,23,-27
-100,24,-27
-100,25,-27
-100,26,-27
-100,27,-27
-100,28,-27
-100,29,-27
-100,30,-27
-100,31,-27
-100,32,-27
-100,33,-27
-100,34,-27
-100,35,-27
-100,36,-27
-100,37,-27
-99,-39,-27
-99,-38,-27
-99,-37,-27
-99,-36,-27
-99,-35,-27
-99,-34,-27
-99,-33,-27
-99,-32,-27
-99,-31,-27
-99,-30,-27
-99,-29,-27
-99,-28,-27
-99,-27,-27
-99,-26,-27
-99,-25,-27
-99,-24,-27
-99,-23,-27
-99,-22,-27
-99,-21,-27
-99,-20,-27
-99,-19,-27
-99,-18,-27
-99,-17,-27
-99,-16,-27
-99,-15,-27
-99,-14,-27
-99,-13,-27
-99,-12,-27
-99,-11,-27
-99,-10,-27
-99,-9,-27
-99,-8,-27
-99,-7,-27
-99,-6,-27
-99,-5,-27
-99,-4,-27
-99,-3,-27
-99,-2,-27
-99,-1,-27
-99,0,-27
-99,1,-27
-99,2,-27
-99,3,-27
-99,4,-27
-99,5,-27
-99,6,-27
-99,7,-27
-99,8,-27
-99,9,-27
-99,10,-27
-99,11,-27
-99,12,-27
-99,13,-27
-99,14,-27
-99,15,-27
-99,16,-27
-99,17,-27
-99,18,-27
-99,19,-27
-99,20,-27
-99,21,-27
-99,22,-27
-99,23,-27
-99,24,-27
-99,25,-27
-99,26,-27
-99,27,-27
-99,28,-27
-99,29,-27
-99,30,-27
-99,31,-27
-99,32,-27
-99,33,-27
-99,34,-27
-99,35,-27
-99,36,-27
-99,37,-27
-98,-39,-27
-98,-38,-27
-98,-37,-27
-98,-36,-27
-98,-35,-27
-98,-34,-27
-98,-33,-27
-98,-32,-27
-98,-31,-27
-98,-30,-27
-98,-29,-27
-98,-28,-27
-98,-27,-27
-98,-26,-27
-98,-25,-27
-98,-24,-27
-98,-23,-27
-98,-22,-27
-98,-21,-27
-98,-20,-27
-98,-19,-27
-98,-18,-27
-98,-17,-27
-98,-16,-27
-98,-15,-27
-98,-14,-27
-98,-13,-27
-98,-12,-27
-98,-11,-27
-98,-10,-27
-98,-9,-27
-98,-8,-27
-98,-7,-27
-98,-6,-27
-98,-5,-27
-98,-4,-27
-98,-3,-27
-98,-2,-27
-98,-1,-27
-98,0,-27
-98,1,-27
-98,2,-27
-98,3,-27
-98,4,-27
-98,5,-27
-98,6,-27
-98,7,-27
-98,8,-27
-98,9,-27
-98,10,-27
-98,11,-27
-98,12,-27
-98,13,-27
-98,14,-27
-98,15,-27
-98,16,-27
-98,17,-27
-98,18,-27
-98,19,-27
-98,20,-27
-98,21,-27
-98,22,-27
-98,23,-27
-98,24,-27
-98,25,-27
-98,26,-27
-98,27,-27
-98,28,-27
-98,29,-27
-98,30,-27
-98,31,-27
-98,32,-27
-98,33,-27
-98,34,-27
-98,35,-27
-98,36,-27
-98,37,-27
-97,-39,-27
-97,-38,-27
-97,-37,-27
-97,-36,-27
-97,-35,-27
-97,-34,-27
-97,-33,-27
-97,-32,-27
-97,-31,-27
-97,-30,-27
-97,-29,-27
-97,-28,-27
-97,-27,-27
-97,-26,-27
-97,-25,-27
-97,-24,-27
-97,-23,-27
-97,-22,-27
-97,-21,-27
-97,-20,-27
-97,-19,-27
-97,-18,-27
-97,-17,-27
-97,-16,-27
-97,-15,-27
-97,-14,-27
-97,-13,-27
-97,-12,-27
-97,-11,-27
-97,-10,-27
-97,-9,-27
-97,-8,-27
-97,-7,-27
-97,-6,-27
-97,-5,-27
-97,-4,-27
-97,-3,-27
-97,-2,-27
-97,-1,-27
-97,0,-27
-97,1,-27
-97,2,-27
-97,3,-27
-97,4,-27
-97,5,-27
-97,6,-27
-97,7,-27
-97,8,-27
-97,9,-27
-97,10,-27
-97,11,-27
-97,12,-27
-97,13,-27
-97,14,-27
-97,15,-27
-97,16,-27
-97,17,-27
-97,18,-27
-97,19,-27
-97,20,-27
-97,21,-27
-97,22,-27
-97,23,-27
-97,24,-27
-97,25,-27
-97,26,-27
-97,27,-27
-97,28,-27
-97,29,-27
-97,30,-27
-97,31,-27
-97,32,-27
-97,33,-27
-97,34,-27
-97,35,-27
-97,36,-27
-97,37,-27
-96,-39,-27
-96,-38,-27
-96,-37,-27
-96,-36,-27
-96,-35,-27
-96,-34,-27
-96,-33,-27
-96,-32,-27
-96,-31,-27
-96,-30,-27
-96,-29,-27
-96,-28,-27
-96,-27,-27
-96,-26,-27
-96,-25,-27
-96,-24,-27
-96,-23,-27
-96,-22,-27
-96,-21,-27
-96,-20,-27
-96,-19,-27
-96,-18,-27
-96,-17,-27
-96,-16,-27
-96,-15,-27
-96,-14,-27
-96,-13,-27
-96,-12,-27
-96,-11,-27
-96,-10,-27
-96,-9,-27
-96,-8,-27
-96,-7,-27
-96,-6,-27
-96,-5,-27
-96,-4,-27
-96,-3,-27
-96,-2,-27
-96,-1,-27
-96,0,-27
-96,1,-27
-96,2,-27
-96,3,-27
-96,4,-27
-96,5,-27
-96,6,-27
-96,7,-27
-96,8,-27
-96,9,-27
-96,10,-27
-96,11,-27
-96,12,-27
-96,13,-27
-96,14,-27
-96,15,-27
-96,16,-27
-96,17,-27
-96,18,-27
-96,19,-27
-96,20,-27
-96,21,-27
-96,22,-27
-96,23,-27
-96,24,-27
-96,25,-27
-96,26,-27
-96,27,-27
-96,28,-27
-96,29,-27
-96,30,-27
-96,31,-27
-96,32,-27
-96,33,-27
-96,34,-27
-96,35,-27
-96,36,-27
-96,37,-27
-95,-39,-27
-95,-38,-27
-95,-37,-27
-95,-36,-27
-95,-35,-27
-95,-34,-27
-95,-33,-27
-95,-32,-27
-95,-31,-27
-95,-30,-27
-95,-29,-27
-95,-28,-27
-95,-27,-27
-95,-26,-27
-95,-25,-27
-95,-24,-27
-95,-23,-27
-95,-22,-27
-95,-21,-27
-95,-20,-27
-95,-19,-27
-95,-18,-27
-95,-17,-27
-95,-16,-27
-95,-15,-27
-95,-14,-27
-95,-13,-27
-95,-12,-27
-95,-11,-27
-95,-10,-27
-95,-9,-27
-95,-8,-27
-95,-7,-27
-95,-6,-27
-95,-5,-27
-95,-4,-27
-95,-3,-27
-95,-2,-27
-95,-1,-27
-95,0,-27
-95,1,-27
-95,2,-27
-95,3,-27
-95,4,-27
-95,5,-27
-95,6,-27
-95,7,-27
-95,8,-27
-95,9,-27
-95,10,-27
-95,11,-27
-95,12,-27
-95,13,-27
-95,14,-27
-95,15,-27
-95,16,-27
-95,17,-27
-95,18,-27
-95,19,-27
-95,20,-27
-95,21,-27
-95,22,-27
-95,23,-27
-95,24,-27
-95,25,-27
-95,26,-27
-95,27,-27
-95,28,-27
-95,29,-27
-95,30,-27
-95,31,-27
-95,32,-27
-95,33,-27
-95,34,-27
-95,35,-27
-95,36,-27
-95,37,-27
-94,-39,-27
-94,-38,-27
-94,-37,-27
-94,-36,-27
-94,-35,-27
-94,-34,-27
-94,-33,-27
-94,-32,-27
-94,-31,-27
-94,-30,-27
-94,-29,-27
-94,-28,-27
-94,-27,-27
-94,-26,-27
-94,-25,-27
-94,-24,-27
-94,-23,-27
-94,-22,-27
-94,-21,-27
-94,-20,-27
-94,-19,-27
-94,-18,-27
-94,-17,-27
-94,-16,-27
-94,-15,-27
-94,-14,-27
-94,-13,-27
-94,-12,-27
-94,-11,-27
-94,-10,-27
-94,-9,-27
-94,-8,-27
-94,-7,-27
-94,-6,-27
-94,-5,-27
-94,-4,-27
-94,-3,-27
-94,-2,-27
-94,-1,-27
-94,0,-27
-94,1,-27
-94,2,-27
-94,3,-27
-94,4,-27
-94,5,-27
-94,6,-27
-94,7,-27
-94,8,-27
-94,9,-27
-94,10,-27
-94,11,-27
-94,12,-27
-94,13,-27
-94,14,-27
-94,15,-27
-94,16,-27
-94,17,-27
-94,18,-27
-94,19,-27
-94,20,-27
-94,21,-27
-94,22,-27
-94,23,-27
-94,24,-27
-94,25,-27
-94,26,-27
-94,27,-27
-94,28,-27
-94,29,-27
-94,30,-27
-94,31,-27
-94,32,-27
-94,33,-27
-94,34,-27
-94,35,-27
-94,36,-27
-94,37,-27
-93,-39,-27
-93,-38,-27
-93,-37,-27
-93,-36,-27
-93,-35,-27
-93,-34,-27
-93,-33,-27
-93,-32,-27
-93,-31,-27
-93,-30,-27
-93,-29,-27
-93,-28,-27
-93,-27,-27
-93,-26,-27
-93,-25,-27
-93,-24,-27
-93,-23,-27
-93,-22,-27
-93,-21,-27
-93,-20,-27
-93,-19,-27
-93,-18,-27
-93,-17,-27
-93,-16,-27
-93,-15,-27
-93,-14,-27
-93,-13,-27
-93,-12,-27
-93,-11,-27
-93,-10,-27
-93,-9,-27
-93,-8,-27
-93,-7,-27
-93,-6,-27
-93,-5,-27
-93,-4,-27
-93,-3,-27
-93,-2,-27
-93,-1,-27
-93,0,-27
-93,1,-27
-93,2,-27
-93,3,-27
-93,4,-27
-93,5,-27
-93,6,-27
-93,7,-27
-93,8,-27
-93,9,-27
-93,10,-27
-93,11,-27
-93,12,-27
-93,13,-27
-93,14,-27
-93,15,-27
-93,16,-27
-93,17,-27
-93,18,-27
-93,19,-27
-93,20,-27
-93,21,-27
-93,22,-27
-93,23,-27
-93,24,-27
-93,25,-27
-93,26,-27
-93,27,-27
-93,28,-27
-93,29,-27
-93,30,-27
-93,31,-27
-93,32,-27
-93,33,-27
-93,34,-27
-93,35,-27
-93,36,-27
-93,37,-27
-92,-39,-27
-92,-38,-27
-92,-37,-27
-92,-36,-27
-92,-35,-27
-92,-34,-27
-92,-33,-27
-92,-32,-27
-92,-31,-27
-92,-30,-27
-92,-29,-27
-92,-28,-27
-92,-27,-27
-92,-26,-27
-92,-25,-27
-92,-24,-27
-92,-23,-27
-92,-22,-27
-92,-21,-27
-92,-20,-27
-92,-19,-27
-92,-18,-27
-92,-17,-27
-92,-16,-27
-92,-15,-27
-92,-14,-27
-92,-13,-27
-92,-12,-27
-92,-11,-27
-92,-10,-27
-92,-9,-27
-92,-8,-27
-92,-7,-27
-92,-6,-27
-92,-5,-27
-92,-4,-27
-92,-3,-27
-92,-2,-27
-92,-1,-27
-92,0,-27
-92,1,-27
-92,2,-27
-92,3,-27
-92,4,-27
-92,5,-27
-92,6,-27
-92,7,-27
-92,8,-27
-92,9,-27
-92,10,-27
-92,11,-27
-92,12,-27
-92,13,-27
-92,14,-27
-92,15,-27
-92,16,-27
-92,17,-27
-92,18,-27
-92,19,-27
-92,20,-27
-92,21,-27
-92,22,-27
-92,23,-27
-92,24,-27
-92,25,-27
-92,26,-27
-92,27,-27
-92,28,-27
-92,29,-27
-92,30,-27
-92,31,-27
-92,32,-27
-92,33,-27
-92,34,-27
